COD. UF;COD. MUNIC;POPULAÇÃO ESTIMADA;;;;;;
22;04501;10478;;;;;;
22;04550;4350;;;;;;
22;04600;3562;;;;;;
22;04659;9501;;;;;;
22;04709;15259;;;;;;
22;04808;9620;;;;;;
22;04907;7886;;;;;;
22;05003;10980;;;;;;
22;05102;10493;;;;;;
22;05151;5715;;;;;;
22;05201;17811;;;;;;
22;05250;4251;;;;;;
22;05276;4568;;;;;;
22;05300;4600;;;;;;
22;05359;3031;;;;;;
22;05409;14175;;;;;;
22;05458;5535;;;;;;
22;05508;44391;;;;;;
22;05516;5311;;;;;;
22;05524;5499;;;;;;
22;05532;4505;;;;;;
22;05540;3029;;;;;;
22;05557;8449;;;;;;
22;05565;5146;;;;;;
22;05573;6449;;;;;;
22;05581;5009;;;;;;
22;05599;4575;;;;;;
22;05607;5311;;;;;;
22;05706;31775;;;;;;
22;05805;26204;;;;;;
22;05854;8218;;;;;;
22;05904;5314;;;;;;
22;05953;8783;;;;;;
22;06001;4848;;;;;;
22;06050;5215;;;;;;
22;06100;10875;;;;;;
22;06209;33071;;;;;;
22;06308;1352;;;;;;
22;06357;6678;;;;;;
22;06407;10455;;;;;;
22;06506;7751;;;;;;
22;06605;10910;;;;;;
22;06654;4458;;;;;;
22;06670;6547;;;;;;
22;06696;10139;;;;;;
22;06704;6729;;;;;;
22;06720;10706;;;;;;
22;06753;5406;;;;;;
22;06803;8732;;;;;;
22;06902;6178;;;;;;
22;06951;2886;;;;;;
22;07009;39545;;;;;;
22;07108;2725;;;;;;
22;07207;6481;;;;;;
22;07306;4174;;;;;;
22;07355;3041;;;;;;
22;07405;5048;;;;;;
22;07504;13480;;;;;;
22;07553;3878;;;;;;
22;07603;10289;;;;;;
22;07702;169552;;;;;;
22;07751;4220;;;;;;
22;07777;5461;;;;;;
22;07793;3972;;;;;;
22;07801;21601;;;;;;
22;07850;3698;;;;;;
22;07900;39039;;;;;;
22;07934;2514;;;;;;
22;07959;4147;;;;;;
22;08007;86228;;;;;;
22;08106;11528;;;;;;
22;08205;17947;;;;;;
22;08304;29849;;;;;;
22;08403;67676;;;;;;
22;08502;12312;;;;;;
22;08551;2391;;;;;;
22;08601;3098;;;;;;
22;08650;8936;;;;;;
22;08700;8563;;;;;;
22;08809;17418;;;;;;
22;08858;4241;;;;;;
22;08874;4114;;;;;;
22;08908;6215;;;;;;
22;09005;5868;;;;;;
22;09104;5928;;;;;;
22;09153;3466;;;;;;
22;09203;6209;;;;;;
22;09302;5425;;;;;;
22;09351;4174;;;;;;
22;09377;4690;;;;;;
22;09401;5938;;;;;;
22;09450;2189;;;;;;
22;09500;3719;;;;;;
22;09559;4451;;;;;;
22;09609;2885;;;;;;
22;09658;5703;;;;;;
22;09708;5404;;;;;;
22;09757;3019;;;;;;
22;09807;4944;;;;;;
22;09856;4306;;;;;;
22;09872;5615;;;;;;
22;09906;6233;;;;;;
22;09955;4443;;;;;;
22;09971;8443;;;;;;
22;10003;22036;;;;;;
22;10052;4906;;;;;;
22;10102;3320;;;;;;
22;10201;6732;;;;;;
22;10300;6135;;;;;;
22;10359;4497;;;;;;
22;10375;2329;;;;;;
22;10383;2304;;;;;;
22;10391;2870;;;;;;
22;10409;17902;;;;;;
22;10508;14046;;;;;;
22;10607;40784;;;;;;
22;10623;3228;;;;;;
22;10631;4572;;;;;;
22;10656;9631;;;;;;
22;10706;14650;;;;;;
22;10805;14342;;;;;;
22;10904;4184;;;;;;
22;10938;6345;;;;;;
22;10953;3029;;;;;;
22;10979;2330;;;;;;
22;11001;902644;;;;;;
22;11100;47707;;;;;;
22;11209;26501;;;;;;
22;11308;22920;;;;;;
22;11357;5173;;;;;;
22;11407;4515;;;;;;
22;11506;3271;;;;;;
22;11605;2979;;;;;;
22;11704;4117;;;;;;
23;00101;10282;;;;;;
23;00150;14306;;;;;;
23;00200;68758;;;;;;
23;00309;46215;;;;;;
23;00408;14220;;;;;;
23;00507;11754;;;;;;
23;00606;6970;;;;;;
23;00705;14418;;;;;;
23;00754;44342;;;;;;
23;00804;7484;;;;;;
23;00903;13219;;;;;;
23;01000;84737;;;;;;
23;01109;78752;;;;;;
23;01208;26696;;;;;;
23;01257;11485;;;;;;
23;01307;20223;;;;;;
23;01406;11459;;;;;;
23;01505;7619;;;;;;
23;01604;22212;;;;;;
23;01703;24267;;;;;;
23;01802;5832;;;;;;
23;01851;17654;;;;;;
23;01901;80217;;;;;;
23;01950;23351;;;;;;
23;02008;19669;;;;;;
23;02057;14977;;;;;;
23;02107;36978;;;;;;
23;02206;55666;;;;;;
23;02305;34441;;;;;;
23;02404;52169;;;;;;
23;02503;53778;;;;;;
23;02602;65031;;;;;;
23;02701;26082;;;;;;
23;02800;77207;;;;;;
23;02909;17760;;;;;;
23;03006;16419;;;;;;
23;03105;18075;;;;;;
23;03204;27482;;;;;;
23;03303;17333;;;;;;
23;03402;17758;;;;;;
23;03501;76365;;;;;;
23;03600;9577;;;;;;
23;03659;10817;;;;;;
23;03709;375730;;;;;;
23;03808;22678;;;;;;
23;03907;12805;;;;;;
23;03931;12380;;;;;;
23;03956;20763;;;;;;
23;04004;21438;;;;;;
23;04103;79809;;;;;;
23;04202;138232;;;;;;
23;04236;18007;;;;;;
23;04251;31847;;;;;;
23;04269;9172;;;;;;
23;04277;6393;;;;;;
23;04285;80304;;;;;;
23;04301;18557;;;;;;
23;04350;25127;;;;;;
23;04400;2574412;;;;;;
23;04459;18052;;;;;;
23;04509;16362;;;;;;
23;04608;6924;;;;;;
23;04657;14174;;;;;;
23;04707;55633;;;;;;
23;04806;4960;;;;;;
23;04905;11313;;;;;;
23;04954;25085;;;;;;
23;05001;44294;;;;;;
23;05100;5819;;;;;;
23;05209;18225;;;;;;
23;05233;79934;;;;;;
23;05266;12191;;;;;;
23;05308;24649;;;;;;
23;05332;11979;;;;;;
23;05357;22367;;;;;;
23;05407;64802;;;;;;
23;05506;102251;;;;;;
23;05605;24530;;;;;;
23;05654;11937;;;;;;
23;05704;12441;;;;;;
23;05803;42968;;;;;;
23;05902;38285;;;;;;
23;06009;14411;;;;;;
23;06108;24751;;;;;;
23;06207;7779;;;;;;
23;06256;70679;;;;;;
23;06306;49086;;;;;;
23;06405;137892;;;;;;
23;06504;18228;;;;;;
23;06553;45465;;;;;;
23;06603;21087;;;;;;
23;06702;17625;;;;;;
23;06801;10656;;;;;;
23;06900;35124;;;;;;
23;07007;33070;;;;;;
23;07106;28707;;;;;;
23;07205;8100;;;;;;
